county_name,STATEICP,COUNTYICP,county_lon,county_lat
Brevard,43,90,-80.74401866,28.26320895
Brewster,49,430,-103.2517644,29.81195475
Briscoe,49,450,-101.2086047,34.53026949
Bristol,3,50,-71.11515055,41.80194807
Bristol,5,10,-71.28374808,41.71622117
Bristol City,40,5200,-82.18928214,36.60193477
Broadwater,64,70,-111.4954769,46.33200474
Bronx,13,50,-73.86668957,40.85261639
Brooke,56,90,-80.57642238,40.27334716
Brookings,37,110,-96.79043331,44.36968603
Brooks,44,270,-83.58021651,30.84197348
Brooks,49,470,-98.21873101,27.03158033
Broome,13,70,-75.81962944,42.16022658
Broward,43,110,-80.48777393,26.15183311
Brown,21,90,-90.75034874,39.96181895
Brown,22,130,-86.22737993,39.19621871
Brown,32,130,-95.56422523,39.82650307
Brown,33,150,-94.72748582,44.24218028
Brown,35,170,-99.92950828,42.43001594
Brown,24,150,-83.86737357,38.93390073
Brown,37,130,-98.3516205,45.58973039
Brown,49,490,-98.99980219,31.77426783
Brown,25,90,-88.00373854,44.45249099
Brule,37,150,-99.08094459,43.71806613
Brunswick,47,190,-78.24409275,34.07490079
Brunswick,40,250,-77.85901837,36.76478936
Bryan,44,290,-81.44713229,32.01767184
Bryan,53,130,-96.25975609,33.96230424
Buchanan,31,190,-91.83784634,42.47078542
Buchanan,34,210,-94.8061744,39.65987083
Buchanan,40,270,-82.03605048,37.26663725
Buckingham,40,290,-78.52871306,37.5722502
Bucks,14,170,-75.10691208,40.33699561
Buena Vista,31,210,-95.15115607,42.73550049
Buena Vista City,40,5300,-79.35599702,37.7325472
Buffalo,35,190,-99.07497515,40.85515926
Buffalo,37,170,-99.20497353,44.07635197
Buffalo,25,110,-91.75447689,44.37984017
Bullitt,51,290,-85.69591526,37.96997975
Bulloch,44,310,-81.74318479,32.39682009
Bullock,41,110,-85.71570166,32.1005602
Buncombe,47,210,-82.53020664,35.61119729
Bureau,21,110,-89.52868443,41.40416003
Burke,44,330,-82.00039859,33.0609717
Burke,47,230,-81.70449651,35.74947654
Burke,36,130,-102.5182745,48.79100997
Burleigh,36,150,-100.4687443,46.97740313
Burleson,49,510,-96.62146463,30.49247756
Burlington,12,50,-74.66679568,39.87677239
Burnet,49,530,-98.18248265,30.78827437
Burnett,25,130,-92.36757403,45.86272362
Burt,35,210,-96.32861192,41.85155913
Butler,41,130,-86.68029248,31.75243871
Butler,31,230,-92.79020038,42.73157415
Butler,32,150,-96.83907287,37.78127811
Butler,51,310,-86.68167986,37.20737246
Butler,34,230,-90.40656209,36.71642302
Butler,35,230,-97.13066091,41.22404257
Butler,24,170,-84.57567403,39.43865226
Butler,14,190,-79.91300188,40.9117212
Butte,71,70,-121.6010547,39.66504874
Butte,63,230,-113.1711447,43.72329138
Butte,37,190,-103.5080314,44.90583888
Butts,44,350,-83.95721283,33.28892975
Cabarrus,47,250,-80.55202985,35.38686302
Cabell,56,110,-82.24172053,38.42030434
Cache,67,50,-111.7435629,41.72238071
Caddo,45,170,-93.88236575,32.58018887
Caddo,53,150,-98.37515516,35.17438649
Calaveras,71,90,-120.5541453,38.20461137
Calcasieu,45,190,-93.35794906,30.22922525
Caldwell,51,330,-87.86784965,37.14536338
Caldwell,45,210,-92.11661217,32.09227736
Caldwell,34,250,-93.98280897,39.65575739
Caldwell,47,270,-81.54654434,35.95296881
Caldwell,49,550,-97.62000871,29.83712555
Caledonia,6,50,-72.10219578,44.46468544
Calhoun,41,150,-85.82604026,33.77143412
Calhoun,42,130,-92.50306281,33.55803959
Calhoun,43,130,-85.19721074,30.40604045
Calhoun,44,370,-84.62435389,31.52890139
Calhoun,21,130,-90.66749971,39.16919428
Calhoun,31,250,-94.64042137,42.3851925
Calhoun,23,250,-85.0055889,42.2465474
Calhoun,46,130,-89.33645071,33.93645636
Calhoun,48,170,-80.78027454,33.67485451
Calhoun,49,570,-96.64695178,28.48788138
Calhoun,56,130,-81.11757257,38.84450652
Callahan,49,590,-99.37349622,32.29766121
Callaway,34,270,-91.92600949,38.83553876
Calloway,51,350,-88.27225018,36.62106166
Calumet,25,150,-88.21806421,44.08161177
Calvert,52,70,-76.56833151,38.55366319
Camas,63,250,-114.8058666,43.46325709
Cambria,14,210,-78.71360103,40.4953609
Camden,44,390,-81.67847331,30.93306121
Camden,34,290,-92.76601714,38.02708043
Camden,12,70,-74.95778214,39.80157129
Camden,47,290,-76.20997236,36.38992087
Cameron,45,230,-93.16998471,29.87396317
Cameron,14,230,-78.20383333,41.4367874
Cameron,49,610,-97.53346221,26.12933466
Camp,49,630,-94.97848391,32.97323057
Campbell,51,370,-84.37938796,38.94646128
Campbell,37,210,-100.0516383,45.77113899
Campbell,54,130,-84.14970485,36.4031942
Campbell,40,310,-79.10073159,37.21398835
Campbell,68,50,-105.5488227,44.24764562
Canadian,53,170,-97.98239112,35.54245195
Candler,44,430,-82.07367522,32.40344902
Cannon,54,150,-86.06174657,35.80868165
Canyon,63,270,-116.7093062,43.62513925
Cape Girardeau,34,310,-89.68447087,37.38404779
Cape May,12,90,-74.80745452,39.15085495
Carbon,64,90,-109.0283479,45.22740427
Carbon,14,250,-75.7087142,40.91828711
Carbon,67,70,-110.5889943,39.64817835
Carbon,68,70,-106.9306209,41.69459573
Caribou,63,290,-111.5622304,42.77051463
Carlisle,51,390,-88.97097146,36.85312599
Carlton,33,170,-92.67705952,46.59241077
Caroline,52,90,-75.83099946,38.87244716
Caroline,40,330,-77.34757692,38.02716594
Carroll,42,150,-93.53819698,36.34102946
Carroll,44,450,-85.07974758,33.58282293
Carroll,21,150,-89.93434017,42.06861688
Carroll,22,150,-86.5634898,40.58286618
Carroll,31,270,-94.86056718,42.03624591
Carroll,51,410,-85.12359292,38.66771515
Carroll,52,110,-77.02252775,39.5628642
Carroll,46,150,-89.92019808,33.44852611
Carroll,34,330,-93.50504087,39.42679602
Carroll,4,30,-71.20281542,43.8738897
Carroll,24,190,-81.08972055,40.57959995
Carroll,54,170,-88.4502652,35.97318022
Carroll,40,350,-80.73559898,36.73101139
Carson,49,650,-101.3541919,35.40351386
Carter,51,430,-83.04955231,38.31813557
Carter,34,350,-90.96231662,36.94127884
Carter,64,110,-104.5361667,45.51678151
Carter,53,190,-97.28579816,34.25087146
Carter,54,190,-82.12743216,36.29272689
Carteret,47,310,-76.67138024,34.83098731
Carver,33,190,-93.8025837,44.82077262
Cascade,64,130,-111.3471639,47.3080253
Casey,51,450,-84.92840314,37.32223521
Cass,21,170,-90.24738755,39.97357091
Cass,22,170,-86.34595181,40.76149921
Cass,31,290,-94.92783439,41.33149494
Cass,23,270,-85.99346321,41.91540814
Cass,33,210,-94.32536308,46.94959064
Cass,35,250,-96.14087405,40.90972945
Cass,36,170,-97.24805259,46.93298012
Cass,49,670,-94.34359972,33.07754196
Cass/Van Buren,34,370,-94.35483086,38.64701151
Cassia,63,310,-113.6003801,42.28387537
Castro,49,690,-102.2616774,34.52996382
Caswell,47,330,-79.33360868,36.39334364
Catahoula,45,250,-91.84707713,31.66616877
Catawba,47,350,-81.21446946,35.6626118
Catoosa,44,470,-85.13825081,34.90366317
Catron,66,30,-108.4047378,33.91533414
Cattaraugus,13,90,-78.67885609,42.24863989
Cavalier,36,190,-98.46487472,48.77231091
Cayuga,13,110,-76.55425364,42.91683757
Cecil,52,130,-75.94196378,39.57570948
Cedar,31,310,-91.13241852,41.77232787
Cedar,34,390,-93.85662209,37.72385574
Cedar,35,270,-97.25240954,42.59926929
Centre,14,270,-77.81988537,40.91962073
Cerro Gordo,31,330,-93.26082549,43.08156543
Chaffee,62,150,-106.1941008,38.74689247
Chambers,41,170,-85.39204707,32.91437938
Chambers,49,710,-94.60853749,29.73896965
Champaign,21,190,-88.1991957,40.14009339
Champaign,24,210,-83.76950143,40.13768219
Chariton,34,410,-92.96257803,39.51454802
Charles,52,150,-76.98981445,38.50719413
Charles City,40,360,-77.06449676,37.35820358
Charles Mix,37,230,-98.58790179,43.2079145
Charleston,48,190,-79.95812169,32.83766128
Charlevoix,23,290,-85.12508732,45.30081368
Charlotte,43,150,-81.89668843,26.90764139
Charlotte,40,370,-78.66164196,37.01161897
Charlottesville City,40,5400,-78.48910911,38.03376312
Charlton,44,490,-82.13774809,30.78171254
Chase,32,170,-96.59393728,38.30205347
Chase,35,290,-101.6979564,40.52420251
Chatham,44,510,-81.13855397,32.00960909
Chatham,47,370,-79.25535609,35.70254351
Chattahoochee,44,530,-84.78705382,32.34697774
Chattooga,44,550,-85.3453146,34.4751572
Chautauqua,32,190,-96.24538628,37.15006386
Chautauqua,13,130,-79.36634259,42.22812648
Chaves,66,50,-104.46701,33.36319545
Cheatham,54,210,-87.08677574,36.26116306
Cheboygan,23,310,-84.49987603,45.44640187
Chelan,73,70,-120.6189242,47.86911189
Chemung,13,150,-76.76002846,42.14125542
Chenango,13,170,-75.61158061,42.49351914
Cherokee,41,190,-85.6037994,34.17596252
Cherokee,44,570,-84.47632996,34.24401798
Cherokee,31,350,-95.62381285,42.73563061
Cherokee,32,210,-94.8462763,37.16931268
Cherokee,47,390,-84.0634806,35.13384139
Cherokee,53,210,-94.99967869,35.90662729
Cherokee,48,210,-81.62039418,35.04821029
Cherokee,49,730,-95.16519365,31.83693884
Cherry,35,310,-101.1185878,42.54494058
Cheshire,4,50,-72.25117951,42.9193346
Chester,14,290,-75.7484374,39.973157
Chester,48,230,-81.1595344,34.69206424
Chester,54,230,-88.61365901,35.42232391
Chesterfield,48,250,-80.15872031,34.63978194
Chesterfield,40,410,-77.57847408,37.3847652
Cheyenne,62,170,-102.6034014,38.82794837
Cheyenne,32,230,-101.7311135,39.78587654
Cheyenne,35,330,-102.9949886,41.21978592
Chickasaw,31,370,-92.31767098,43.06004912
Chickasaw,46,170,-88.94786912,33.92080618
Chicot,42,170,-91.293979,33.26726125
Childress,49,750,-100.2075762,34.5292313
Chilton,41,210,-86.71881837,32.84785907
Chippewa,23,330,-84.59250915,46.3034437
Chippewa,33,230,-95.56669835,45.02237424
Chippewa,25,170,-91.27989585,45.06941241
Chisago,33,250,-92.9083463,45.50247376
Chittenden,6,70,-73.08091357,44.46097605
Choctaw,41,230,-88.26320642,32.01961679
Choctaw,46,190,-89.24838593,33.34731227
Choctaw,53,230,-95.55214613,34.02662272
Chouteau,64,150,-110.4352141,47.88057088
Chowan,47,410,-76.60792443,36.15063414
Christian,21,210,-89.27727484,39.54580107
Christian,51,470,-87.49035375,36.89411846
Christian,34,430,-93.18885391,36.96956785
Churchill,65,10,-118.3357908,39.5808816
Cimarron,53,250,-102.5177154,36.74831375
Citrus,43,170,-82.46895386,28.85034372
Clackamas,72,50,-122.2214854,45.1886933
Claiborne,45,270,-92.99571705,32.82267609
Claiborne,46,210,-90.9118135,31.97370088
Claiborne,54,250,-83.66118843,36.48607534
Clallam,73,90,-123.9318793,48.04896736
Clare,23,350,-84.84783716,43.98788004
Clarendon,48,270,-80.21640793,33.66581261
Clarion,14,310,-79.42099898,41.19241428
Clark,42,190,-93.176375,34.05104232
Clark,63,330,-112.3513616,44.28398614
Clark,21,230,-87.78772761,39.33357684
Clark,22,190,-85.70731858,38.4773346
Clark,32,250,-99.82031488,37.23552863
Clark,51,490,-84.14740001,37.97074057
Clark,34,450,-91.73837177,40.41035747
Clark,65,30,-115.0173836,36.21459185
Clark,24,230,-83.78436777,39.91669191
Clark,37,250,-97.72950524,44.85826154
Clark,73,110,-122.4826,45.77926677
Clark,25,190,-90.61208021,44.73472255
Clarke,41,250,-87.83081568,31.67666575
Clarke,44,590,-83.36724432,33.9512164
Clarke,31,390,-93.78516409,41.02903977
Clarke,46,230,-88.68939667,32.04137793
Clarke,40,430,-77.99669715,39.11223933
Clatsop,72,70,-123.6564601,45.98921834
Clay,41,270,-85.86055799,33.26908865
Clay,42,210,-90.41739322,36.36839998
Clay,43,190,-81.8578754,29.98309406
Clay,44,610,-84.98027809,31.62639653
Clay,21,250,-88.49019912,38.75417032
Clay,22,210,-87.11576338,39.39273538
Clay,31,410,-95.15092758,43.08258822
Clay,32,270,-97.16518192,39.34971813
Clay,51,510,-83.71472652,37.15967773
Clay,33,270,-96.49065594,46.89234995
Clay,46,250,-88.78158107,33.65567422
Clay,34,470,-94.42082116,39.31055312
Clay,35,350,-98.05129269,40.5244394
Clay,47,430,-83.75020566,35.05720516
Clay,37,270,-96.97566391,42.9146618
Clay,54,270,-85.54383371,36.55113324
Clay,49,770,-98.208512,33.78553715
Clay,56,150,-81.0750908,38.46253814
Clayton,44,630,-84.35767798,33.54187684
Clayton,31,430,-91.34143875,42.84475707
Clear Creek,62,190,-105.6443696,39.68910856
Clearfield,14,330,-78.47410286,41.00021684
Clearwater,63,350,-115.6568694,46.67370686
Clearwater,33,290,-95.3790397,47.57766399
Cleburne,41,290,-85.51877237,33.67456486
Cleburne,42,230,-92.02674276,35.5381155
Clermont,24,250,-84.15171157,39.04765432
Cleveland,42,250,-92.1851504,33.89836963
Cleveland,47,450,-81.55561338,35.3341155
Cleveland,53,270,-97.32668048,35.20312377
Clifton Forge City,40,5600,-79.82559514,37.81730381
Clinch,44,650,-82.70611047,30.91489888
Clinton,21,270,-89.42248715,38.60645832
Clinton,22,230,-86.47517096,40.3016963
Clinton,31,450,-90.53197891,41.89804348
Clinton,51,530,-85.1360593,36.72745099
Clinton,23,370,-84.60152115,42.94365932
Clinton,34,490,-94.40460092,39.60178696
Clinton,13,190,-73.67817609,44.74623563
Clinton,24,270,-83.80838326,39.41498563
Clinton,14,350,-77.6378968,41.23415366
Cloud,32,290,-97.64928954,39.48030396
Coahoma,46,270,-90.60269274,34.22917154
Coal,53,290,-96.29786322,34.58819881
Cobb,44,670,-84.57670465,33.94144729
Cochise,61,30,-109.7511511,31.8795702
Cochran,49,790,-102.8284641,33.6041493
Cocke,54,290,-83.12116235,35.92543113
Coconino,61,50,-111.7705171,35.8387349
Codington,37,290,-97.18862728,44.97786055
Coffee,41,310,-85.98821081,31.40263199
Coffee,44,690,-82.84921587,31.54929986
Coffee,54,310,-86.07476891,35.49061963
Coffey,32,310,-95.73412129,38.23684742
Coke,49,810,-100.5299184,31.88853648
Colbert (new),41,330,-87.80530383,34.70026152
Cole,34,510,-92.28161213,38.50548807
Coleman,49,830,-99.45364847,31.77320014
Coles,21,290,-88.22180101,39.52029348
Colfax,35,370,-97.08658145,41.57292874
Colfax,66,70,-104.6468722,36.60612443
Colleton,48,290,-80.66964639,32.86700641
Collier,43,210,-81.34037623,26.11706098
Collin,49,850,-96.57238081,33.18791199
Collingsworth,49,870,-100.2700857,34.96490899
Colorado,49,890,-96.52628346,29.62082745
Colquitt,44,710,-83.76885071,31.18839752
Columbia,42,270,-93.22731419,33.21429252
Columbia,43,230,-82.62154281,30.22424806
Columbia,44,730,-82.26404935,33.54412931
Columbia,13,210,-73.6318496,42.2500919
Columbia,72,90,-123.0864969,45.94193403
Columbia,14,370,-76.40518081,41.04863993
Columbia,73,130,-117.9078856,46.29755055
Columbia,25,210,-89.33374079,43.46660794
Columbiana,24,290,-80.77724688,40.76842126
Columbus,47,470,-78.65506691,34.265412
Colusa,71,110,-122.2370397,39.17757655
Comal,49,910,-98.27825338,29.80818655
Comanche,32,330,-99.27187946,37.19128739
Comanche,53,310,-98.47166933,34.66210726
Comanche,49,930,-98.5582685,31.94798577
Concho,49,950,-99.8639721,31.3265006
Concordia,45,290,-91.64006003,31.44580979
Conecuh,41,350,-86.99368771,31.42927249
Conejos,62,210,-106.19164,37.20070204
Contra Costa,71,130,-121.9277228,37.91574467
Converse,68,90,-105.5079365,42.98928092
Conway,42,290,-92.70132947,35.26221677
Cook,44,750,-83.43046906,31.15399687
Cook,21,310,-87.81674307,41.84004399
Cook,33,310,-90.53559767,47.90255978
Cooke,49,970,-97.21263105,33.63920277
Cooper,34,530,-92.8101362,38.84352163
Coos,4,70,-71.30544331,44.68959624
Coos,72,110,-124.05727,43.17178112
Coosa,41,370,-86.24770382,32.93624892
Copiah,46,290,-90.44880189,31.86924551
Corson,37,310,-101.1968774,45.70860882
